k,i
clickVideoExit,0.026982731
clickVideoExit,0.002998081
clickVideoExit,0.344047809
clickVideoExit,0.009943636
clickVideoExit,0.88736009
clickVideoExit,0
clickVideoExit,0.65896826
clickVideoExit,0.026511033
clickVideoExit,0.667858571
clickVideoExit,0.968740006
clickVideoExit,0.004882875
clickVideoExit,0.999488327
clickVideoExit,0.4345319
clickVideoExit,0.998758794
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.878433802
clickVideoExit,0.990847857
clickVideoExit,0
clickVideoExit,0.002610329
clickVideoExit,0.010727135
clickVideoExit,0.007141429
clickVideoExit,
clickVideoExit,0.001055325
clickVideoExit,0.010825072
clickVideoExit,0.010083547
clickVideoExit,0
clickVideoExit,0.313487368
clickVideoExit,0.675153902
clickVideoExit,0.003487768
clickVideoExit,0.003741605
clickVideoExit,0.353727614
clickVideoExit,0.201692917
clickVideoExit,0.199872082
clickVideoExit,0.99018828
clickVideoExit,0.556309962
clickVideoExit,0
clickVideoExit,0.205632395
clickVideoExit,0
clickVideoExit,0.202434442
clickVideoExit,0.534238088
clickVideoExit,0.07079669
clickVideoExit,0.987899744
clickVideoExit,0.857649105
clickVideoExit,0.004744963
clickVideoExit,0.236678526
clickVideoExit,0.86762472
clickVideoExit,0.727072673
clickVideoExit,0.134411976
clickVideoExit,0
clickVideoExit,0.002006716
clickVideoExit,0.002048689
clickVideoExit,0.000395747
clickVideoExit,0.140342181
clickVideoExit,0.516895187
clickVideoExit,0.392204989
clickVideoExit,
clickVideoExit,0.016741286
clickVideoExit,0.986654541
clickVideoExit,0.020886633
clickVideoExit,0.971238407
clickVideoExit,0.361768468
clickVideoExit,0.070954589
clickVideoExit,0.232850975
clickVideoExit,0.037975696
clickVideoExit,0.027982091
clickVideoExit,0.411736489
clickVideoExit,0.002544372
clickVideoExit,0.002544372
clickVideoExit,0.004996802
clickVideoExit,0.474696194
clickVideoExit,0.17089063
clickVideoExit,0.473818756
clickVideoExit,0.001355133
clickVideoExit,0.961384714
clickVideoExit,0.026982731
clickVideoExit,0.802486409
clickVideoExit,0.114926447
clickVideoExit,0.499680205
clickVideoExit,0.986960345
clickVideoExit,0.009891669
clickVideoExit,0.042544771
clickVideoExit,0.969557483
clickVideoExit,0
clickVideoExit,0.241505437
clickVideoExit,0.008054845
clickVideoExit,0
clickVideoExit,0.226786856
clickVideoExit,0.001347138
clickVideoExit,0.99759354
clickVideoExit,
clickVideoExit,0.986354733
clickVideoExit,0.321068516
clickVideoExit,
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.546226415
clickVideoExit,0.987262152
clickVideoExit,0.81539015
clickVideoExit,0.98615686
clickVideoExit,
clickVideoExit,0.821929965
clickVideoExit,0
clickVideoExit,0.02659298
clickVideoExit,0.467954509
clickVideoExit,0.379295251
clickVideoExit,0.709222098
clickVideoExit,0.080946194
clickVideoExit,0.004367205
clickVideoExit,
clickVideoExit,
clickVideoExit,0.948317077
clickVideoExit,
clickVideoExit,0.999912056
clickVideoExit,0.001902782
clickVideoExit,0.009086185
clickVideoExit,0.008940278
