event_key,learn_time,exit_ratio,c_start,c_end
clickVideoExit,3,0.004325888,NULL,NULL
clickVideoExit,806,0,NULL,NULL
clickVideoExit,12,0,NULL,NULL
clickVideoExit,59,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,82,0,NULL,NULL
clickVideoExit,21,0.034308398,NULL,NULL
clickVideoExit,10,0.732133217,NULL,NULL
clickVideoExit,120,0,NULL,NULL
clickVideoExit,376,1.087322124,NULL,NULL
clickVideoExit,9,1.13898266,NULL,NULL
clickVideoExit,5,1.149549057,NULL,NULL
clickVideoExit,325,0.609325852,NULL,NULL
clickVideoExit,734,0,NULL,NULL
clickVideoExit,8,0.009936587,NULL,NULL
clickVideoExit,183,0.40775097,NULL,NULL
clickVideoExit,424,1.123223039,NULL,NULL
clickVideoExit,618,0,NULL,NULL
clickVideoExit,10,0.079573673,NULL,NULL
clickVideoExit,644,0,NULL,NULL
clickVideoExit,1,5.58E-05,NULL,NULL
clickVideoExit,21,0.033498643,NULL,NULL
clickVideoExit,496,1.151074994,NULL,NULL
clickVideoExit,7,0.054766395,NULL,NULL
clickVideoExit,12,0.016790709,NULL,NULL
clickVideoExit,434,1.138504006,NULL,NULL
clickVideoExit,246,0.620106384,NULL,NULL
clickVideoExit,734,0,NULL,NULL
clickVideoExit,763,1.120370904,NULL,NULL
clickVideoExit,150,0.268118706,NULL,NULL
clickVideoExit,40,0.855039552,NULL,NULL
clickVideoExit,10,0.765971957,NULL,NULL
clickVideoExit,74,0.229939682,NULL,NULL
clickVideoExit,41,0.093710187,NULL,NULL
clickVideoExit,69,0.234456313,NULL,NULL
clickVideoExit,16,0.334622942,NULL,NULL
clickVideoExit,656,0,NULL,NULL
clickVideoExit,13,0.025075397,NULL,NULL
clickVideoExit,24,0.445886807,NULL,NULL
clickVideoExit,24,0.537156934,NULL,NULL
clickVideoExit,379,0.29531746,NULL,NULL
clickVideoExit,12,0.109484204,NULL,NULL
clickVideoExit,9,0,NULL,NULL
clickVideoExit,4,1.14139213,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,134,0.237159093,NULL,NULL
clickVideoExit,20,0.034243617,NULL,NULL
clickVideoExit,903,0,NULL,NULL
clickVideoExit,5,0.006119944,NULL,NULL
clickVideoExit,17,0.017152399,NULL,NULL
clickVideoExit,6,1.147611044,NULL,NULL
clickVideoExit,288,0.453039638,NULL,NULL
clickVideoExit,29,0.003548524,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,18,0.027772779,NULL,NULL
clickVideoExit,621,1.143517286,NULL,NULL
clickVideoExit,26,0.030335202,NULL,NULL
clickVideoExit,659,0,NULL,NULL
clickVideoExit,41,0.069181824,NULL,NULL
clickVideoExit,523,1.149183767,NULL,NULL
clickVideoExit,174,0.273283141,NULL,NULL
clickVideoExit,1245,1.104613081,NULL,NULL
clickVideoExit,14,0.615426003,NULL,NULL
clickVideoExit,2,0.00085654,NULL,NULL
clickVideoExit,7,0.009510117,NULL,NULL
clickVideoExit,9,0,NULL,NULL
clickVideoExit,9,0,NULL,NULL
clickVideoExit,4,0.00283774,NULL,NULL
clickVideoExit,52,0.915224104,NULL,NULL
clickVideoExit,419,0,NULL,NULL
clickVideoExit,40,0.063276015,NULL,NULL
clickVideoExit,21,0.662219015,NULL,NULL
clickVideoExit,18,0,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,17,0,NULL,NULL
clickVideoExit,18,0.633488926,NULL,NULL
clickVideoExit,9,0.0029673,NULL,NULL
clickVideoExit,3,0.000365289,NULL,NULL
clickVideoExit,5,0.17345121,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,73,0,NULL,NULL
clickVideoExit,554,1.149048808,NULL,NULL
clickVideoExit,19,0.031110767,NULL,NULL
clickVideoExit,953,1.121321015,NULL,NULL
clickVideoExit,12,1.128680784,NULL,NULL
clickVideoExit,487,0.501768864,NULL,NULL
clickVideoExit,38,1.01335915,NULL,NULL
clickVideoExit,715,0,NULL,NULL
clickVideoExit,176,0.326600975,NULL,NULL
clickVideoExit,253,0.604066047,NULL,NULL
clickVideoExit,77,0,NULL,NULL
clickVideoExit,364,1.14719717,NULL,NULL
clickVideoExit,498,1.010683361,NULL,NULL
clickVideoExit,685,1.149298933,NULL,NULL
clickVideoExit,319,0.270792696,NULL,NULL
clickVideoExit,71,0.348055869,NULL,NULL
clickVideoExit,566,0.641068228,NULL,NULL
clickVideoExit,116,0.043257084,NULL,NULL
clickVideoExit,28,0,NULL,NULL
clickVideoExit,3,0.002125156,NULL,NULL
clickVideoExit,2,0.016859088,NULL,NULL
clickVideoExit,224,0.400637727,NULL,NULL
clickVideoExit,9,0.043536,NULL,NULL
clickVideoExit,2,0.001245222,NULL,NULL
clickVideoExit,6,0.008628384,NULL,NULL
clickVideoExit,625,1.113801096,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,644,0.941463748,NULL,NULL
clickVideoExit,4,0.005922004,NULL,NULL
clickVideoExit,18,0.025624231,NULL,NULL
clickVideoExit,66,0.112361532,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,1,0.000530839,NULL,NULL
clickVideoExit,78,0.095736373,NULL,NULL
clickVideoExit,8,0.112282356,NULL,NULL
clickVideoExit,228,0.476096048,NULL,NULL
clickVideoExit,41,0.063558529,NULL,NULL
clickVideoExit,22,0.035990888,NULL,NULL
clickVideoExit,9,0.012443227,NULL,NULL
clickVideoExit,2,0.001475553,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,37,0.502875528,NULL,NULL
clickVideoExit,109,0.091802765,NULL,NULL
clickVideoExit,29,0.042607481,NULL,NULL
clickVideoExit,6,0.004169336,NULL,NULL
clickVideoExit,511,1.14977039,NULL,NULL
clickVideoExit,175,0.310584031,NULL,NULL
clickVideoExit,5,0.006109148,NULL,NULL
clickVideoExit,7,0.017003045,NULL,NULL
clickVideoExit,245,1.102993572,NULL,NULL
clickVideoExit,717,0.317805241,NULL,NULL
clickVideoExit,1,0.316703975,NULL,NULL
clickVideoExit,794,0,NULL,NULL
clickVideoExit,47,0.00036349,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,453,0.710327429,NULL,NULL
clickVideoExit,677,0.95201035,NULL,NULL
clickVideoExit,487,0.86688536,NULL,NULL
clickVideoExit,25,1.009997769,NULL,NULL
clickVideoExit,6,0.532221031,NULL,NULL
clickVideoExit,50,0.417277282,NULL,NULL
clickVideoExit,777,0,NULL,NULL
clickVideoExit,48,0.92684858,NULL,NULL
clickVideoExit,1195,1.146605149,NULL,NULL
